MutOperator,NumMutInstr,Opcode,LineNum,BlockNum,MetInstrTotal,MetInstrIdx,MetInstrSucc,NumTests,ReturnType,LocalVars,TryCatch,Detected
InlineConstantMutator,12,4,192,13,85,71,14,6,none,6,0,1
InlineConstantMutator,12,4,195,16,85,83,2,6,none,6,0,1
MathMutator,14,96,186,6,85,35,50,8,none,6,0,1
MathMutator,14,100,189,9,85,51,34,6,none,6,0,1
NegateConditionalsMutator,16,160,181,0,85,5,80,9,none,6,0,1
NegateConditionalsMutator,8,198,186,5,85,30,55,9,none,6,0,1
NegateConditionalsMutator,16,154,186,7,85,38,47,8,none,6,0,1
NegateConditionalsMutator,16,154,190,9,85,57,28,6,none,6,0,1
NegateConditionalsMutator,16,160,192,13,85,72,13,6,none,6,0,1
NegateConditionalsMutator,8,199,192,14,85,75,10,4,none,6,0,1
NonVoidMethodCallMutator,2,183,182,1,85,9,76,7,none,6,0,1
NonVoidMethodCallMutator,2,184,185,3,85,23,62,9,none,6,0,1
NonVoidMethodCallMutator,4,185,185,4,85,24,61,9,none,6,0,1
NonVoidMethodCallMutator,2,183,186,6,85,37,48,8,none,6,0,1
NonVoidMethodCallMutator,2,184,191,10,85,63,22,4,none,6,0,1
NonVoidMethodCallMutator,4,185,191,11,85,64,21,4,none,6,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,160,181,0,85,5,80,9,none,6,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,198,186,5,85,30,55,9,none,6,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,154,186,7,85,38,47,8,none,6,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,154,190,9,85,57,28,6,none,6,0,1
RemoveConditionalMutator_EQUAL_ELSE,16,160,192,13,85,72,13,6,none,6,0,1
RemoveConditionalMutator_EQUAL_ELSE,8,199,192,14,85,75,10,4,none,6,0,1
RemoveConditionalMutator_EQUAL_IF,16,160,181,0,85,5,80,9,none,6,0,1
RemoveConditionalMutator_EQUAL_IF,8,198,186,5,85,30,55,9,none,6,0,1
RemoveConditionalMutator_EQUAL_IF,16,154,186,7,85,38,47,8,none,6,0,1
RemoveConditionalMutator_EQUAL_IF,16,154,190,9,85,57,28,6,none,6,0,1
RemoveConditionalMutator_EQUAL_IF,16,160,192,13,85,72,13,6,none,6,0,1
RemoveConditionalMutator_EQUAL_IF,8,199,192,14,85,75,10,4,none,6,0,1
ReturnValsMutator,6,172,182,2,85,10,75,7,none,6,0,1
ReturnValsMutator,6,172,187,8,85,43,42,3,none,6,0,0
ReturnValsMutator,6,172,195,16,85,84,1,6,none,6,0,1
VoidMethodCallMutator,2,183,193,15,85,79,6,2,none,6,0,1
MemberVariableMutator,2,181,189,9,85,52,33,6,none,6,0,1
ABSMutator,10,21,181,0,85,3,82,9,none,6,0,1
ABSMutator,10,21,181,0,85,4,81,9,none,6,0,1
ABSMutator,10,21,184,3,85,15,70,9,none,6,0,1
ABSMutator,10,21,185,3,85,22,63,9,none,6,0,1
ABSMutator,10,21,186,6,85,33,52,8,none,6,0,1
ABSMutator,10,21,186,6,85,36,49,8,none,6,0,1
ABSMutator,10,180,189,9,85,49,36,6,none,6,0,1
ABSMutator,10,180,190,9,85,56,29,6,none,6,0,0
ABSMutator,10,21,191,10,85,62,23,4,none,6,0,1
ABSMutator,10,180,192,13,85,70,15,6,none,6,0,1
AOD1Mutator,14,96,186,6,85,35,50,8,none,6,0,1
AOD1Mutator,14,100,189,9,85,51,34,6,none,6,0,1
AOD2Mutator,14,96,186,6,85,35,50,8,none,6,0,1
AOD2Mutator,14,100,189,9,85,51,34,6,none,6,0,1
AOR1Mutator,14,96,186,6,85,35,50,8,none,6,0,1
AOR1Mutator,14,100,189,9,85,51,34,6,none,6,0,1
AOR2Mutator,14,96,186,6,85,35,50,8,none,6,0,1
